由於這是一篇學術論文的「文獻探討」章節，其核心任務不在於羅列事實，而在於透過對既有研究的梳理，建構出一個邏輯嚴密的論證鏈條，最終導向本研究的必要性。

在數位介面設計的領域中，留白（Whitespace），亦稱為負空間（Negative Space），並非僅是視覺上的空缺，而是一種具備積極功能性的設計元素。既有文獻指出，留白在視覺傳達中扮演著界定邊界、建立層次以及引導視覺流動的核心角色。根據格式塔心理學（Gestalt Psychology）的相關原則，元素之間的空間距離能有效幫助使用者進行群組化（Grouping）與區隔化（Separion），進而降低大腦在處理複雜視覺資訊時的解析難度。

從認知負荷理論（Cognitive Load Theory）的角度觀之，設計師對於留白量的掌控，直接影響到使用者的內在認知負荷（Intrinsic Cognitive Load）與外在認知負荷（Extraneous Cognitive Load）。Sweller（1988）提出的理論強調，當資訊呈現方式過於擁擠或缺乏結構時，使用者必須耗費額外的認知資源去處理不必要的視覺干擾，這類不具備學習意義的負荷即為外在認知負荷。在網頁設計中，過低的留白量往往導致資訊密度過高，造成視覺上的「資訊過載」（Information Overload），使用者的注意力被迫分散於密集的文字與圖像之間，難以形成有效的資訊處理路徑。反之，適度的留白能透過增加視覺間距，強化視覺層次（Visual Hierarchy），使關鍵資訊得以從背景中脫穎而出，從而優化使用者的注意力分配效率。

新聞網頁作為一種高度資訊密集型的媒介，其設計邏輯與一般展示型網頁（如品牌官網）存在顯著差異。新聞網頁的核心價值在於時效性與資訊的廣度，這使得設計者往往傾向於在單一頁面內塞入大量的標題、摘要、圖片及相關連結，以期在最短時間內提供最大化的資訊量。然而，這種追求高資訊密度的設計策略，卻與閱讀體驗的流暢度產生了潛在的衝突。

文獻研究顯示，新聞閱讀行為具有高度的「掃描式」（Scanning）特徵。使用者在面對新聞列表時，並非進行逐字閱讀，而是透過快速移動視線來捕捉關鍵字與視覺線索。當網頁留白量不足時，密集的文字塊與緊湊的圖文間距會破壞視覺的「呼吸感」，導致使用者的眼球運動（Eye Movement）頻率增加，且難以在快速掃描中建立穩定的視覺錨點。此外，新聞網頁的資訊密度亦會影響使用者的感知價值。部分研究認為，極高的資訊密度可能賦予網頁一種「權威感」與「豐富感」，但若此種密度超越了人類視覺處理的閾值，則會轉化為視覺疲勞與焦慮感。因此，如何在維持新聞資訊豐富度與維持視覺清晰度之間取得平衡，成為新聞網頁設計中一個持續存在的辯證議題。

隨著數位化浪潮的演進，不同世代的使用者在數位介面的互動模式與感知特徵上，呈現出顯著的差異性。學術界通常將此區分為「數位原住民」（Digital Natives）與「數位移民」（Digital Immigrants）。這兩類族群在認知風格、視覺注意力分配以及對介面複雜度的耐受度上，皆存在著值得探究的變項。

對於青壯年族群而言，由於長期處於高頻率、多任務的數位環境中，其視覺處理能力展現出較強的抗干擾性與快速掃描能力。這類使用者對於資訊密度的容忍度較高，且具備更成熟的視覺搜尋策略，能夠在複雜的資訊結構中快速定位目標。然而，隨著年齡增長，生理性的視覺功能退化（如對比敏感度下降、聚焦能力減弱）以及認知資源的變化，使得中高齡使用者在面對高密度資訊時，更容易產生認知壓力。

既有研究指出，年長使用者在操作數位介面時，對於視覺結構的清晰度與導航的直覺性有著更高的依賴。對於此類族群而言，留白不僅是美學考量，更是降低操作門檻、提升可讀性的關鍵工具。較大的留白量能提供更明確的視覺邊界，減少誤觸的可能性，並降低辨識文字與圖像邊緣的難度。然而，目前關於「留白量」如何具體影響不同世代使用者在新聞閱讀任務中的表現——例如閱讀速度、資訊回憶度以及視覺疲勞感——仍缺乏系統性的實驗數據支持。

綜上所述，雖然現有文獻已針對留白的認知功能、新聞網頁的資訊密度以及世代間的數位行為差異進行了深入探討，但仍存在明顯的研究缺口。首先，現有的設計研究多聚焦於「留白」與「美感」或「品牌形象」的關係，較少從實驗心理學的角度，量化探究留白量與資訊密度之間的交互作用對使用者認知表現的影響。其次，雖然學界認可世代間存在數位素養的差異，但對於「留白量」這一特定設計變項，如何與不同世代的視覺感知能力、認知負荷耐受度產生交互作用，目前尚缺乏實證性的量化分析。

特別是在新聞網頁這一特定情境下，設計師面臨著「資訊豐富度」與「視覺易讀性」的兩難困境。若僅盲目追求留白以提升美感，可能導致新聞資訊的呈現效率下降；若僅追求高密度以滿足資訊需求，則可能造成特定族群（如中高齡者）的閱讀障礙。因此，本研究旨在透過實驗設計，探討新聞網頁留白量對青壯兩代使用者在閱讀行為（如掃描效率、資訊理解）與心理感受（如視覺疲勞、資訊焦慮）上的影響差異。透過對此議題的探究，本研究不僅能為新聞網頁的視覺設計提供科學依據，亦能為不同年齡層的使用者提供更具包容性（Inclusive Design）的介面設計準則。

1.  邏輯推進（Argumentative Flow）：
    *   第一段從理論基礎（認知負荷）出發，確立「留白」不是隨意設計，而是有心理學依據的。
    *   第二段將討論範圍縮小到特定媒介（新聞網頁），討論「資訊密度」與「閱讀行為」的衝突。
    *   第三段引入變項（世代），討論不同族群在生理與心理上的差異，建立研究的變量基礎。
    *   第四段進行總結與缺口（Gap），指出前人研究的不足，並以此證明「為什麼我要做這個研究」。

2.  學術語體（Academic Tone）：
    *   使用專業術語：如「外在認知負荷」、「視覺錨點」、「視覺流動」、「交互作用」、「包容性設計」。
    *   避免主觀情緒：不使用「我覺得」、「很棒的設計」，而是使用「文獻指出」、「研究顯示」、「存在顯著差異」。
    *   使用轉折詞與連結詞：如「綜上所述」、「然而」、「進一步而言」、「基於上述觀點」，使段落間的論證具有連貫性。

3.  結構化（Structure）：
    *   採用「由廣入深」的寫法：從普遍的設計理論 $\rightarrow$ 特定領域的設計問題 $\rightarrow$ 特定族群的差異 $\rightarrow$ 本研究的切入點。
