隨著全球人口結構進入高齡化社會，如何提升長者的生活品質並促進社會包容，已成為當代公共政策與設計研究的核心課題。傳統上，針對高齡族群的設計思維多聚焦於「補償性設計」或「無障礙設計」，其核心邏輯在於針對生理機能衰退所產生的障礙進行功能性補償，旨在透過輔具或環境改良來降低生活阻力。然而，隨著福利概念從單純的醫療照護擴展至社會福利與生活品質的維護，設計的範疇亦從單純的物理環境修補，轉向更深層次的「福祉設計」（Welfare Design）。福祉設計不應僅限於對功能性缺失的修復，更應關注如何透過設計介入，促進使用者的自我實現、社會連結與尊嚴感。在此脈絡下，設計的角色正從單向的「解決問題」轉化為一種「促進福祉」的策略性媒介。

探討福祉設計的深化過程，不可迴避設計參與度（Design Participation）的演進。早期設計研究多採取「以使用者為中心」（User-Centered Design）的模式，設計師身為專家，透過觀察與訪談，試圖理解使用者的需求並提供解決方案。雖然此模式提升了需求認知的精準度，但仍隱含著一種「專家決策、受眾接受」的權力不對等關係，將長者視為被動的受惠者或觀察樣本。近年來，參與式設計（Participatory Design）與共同設計（Co-design）理論的興起，促使研究重心從「為人設計」（Designing for）轉向「與人設計」（Designing with）。這種範式轉移強調，真正的福祉不應是從外部強加的產品或服務，而應是在理解使用者的生命脈絡下，透過雙向的溝通與協作產出的成果。因此，如何在設計過程中賦權（Empowerment）高齡族群，使其從被動的受領者轉化為主動的創造者，成為福祉設計研究的重要趨勢。

基於上述參與式設計的趨勢，「青銀共創」（Intergenerational Co-creation）的概念遂應運而生。所謂青銀共創，其核心價值在於打破年齡標籤帶來的社會隔閡，建立跨世代的知識交換與資源整合機制。從社會資本理論（Social Capital Theory）的角度觀之，青銀之間的互動不僅能促進不同世代間的「連結型社會資本」（Bonding Social Capital），亦能透過經驗智慧（長者）與數位素養（青年）的互補，建構「橋接型社會資本」（Bridging Social Capital）。在共創過程中，年輕一代的設計學習者得以透過觀察與互動，內化長者的生命經驗與文化價值；而長者則能透過參與設計實務，建立社會參與感，降低社會孤立（Social Isolation）的風險。這種跨世代的協作，不僅是設計方法的應用，更是一種促進社會永續發展的社會介入策略。

然而，要將「青銀共創」從理論層面轉化為具體的設計成果，極度依賴於設計教育中實務課程的制度化設計。傳統設計教學往往侷限於校園內的模擬情境，學生在缺乏真實社會複雜度（Complexity）的環境下進行創作，往往導致設計成果與現實需求脫節。為了彌補此一鴻溝，教學法研究者提出了「服務學習」（Service-Learning）與「專題導向學習」（Project-Based Learning, PBL）的整合路徑。服務學習強調將課堂知識應用於真實社會服務，並在服務過程中進行反思，這與福祉設計所要求的社會參與特性高度契合。透過導入實務專題課程，學生得以在真實的社群場域中，與長者等利害關係人共同面對真實的社會議題。這種教學模式不僅能訓練學生的問題定義能力，更重要的是，它能建立一種「設計倫理」的養成，讓學生理解設計不只是美學或功能的達成，更是對社會正義與生命尊嚴的承擔。

綜上所述，現有文獻雖已分別對福祉設計的內涵、參與式設計的理論，以及服務學習的教學法進行了深入探討，但在如何將「青銀共創」的價值觀，系統性地轉化為具體的「設計教學課程架構」方面，仍顯缺乏實證性的案例與研究。現有的設計實務多聚焦於成果產出，而較少探討如何建構一個能讓青銀雙方皆能實現自我價值、並達成雙向學習與成長的課程流程。因此，本研究擬建立一個以青銀共創為核心的福祉設計實務專題課程模型，透過觀察學生在參與跨世代設計專案中的學習歷程，探究如何藉由課程結構的設計，落實設計教育的社會責任，並進一步驗證青銀協作對於提升設計品質與促進社會共融的實效性。

1.  學術用語的使用：
    *   使用了如「範式轉移」（Paradigm Shift）、「社會資本」（Social Capital）、「權力不對等」（Power Imbalance）、「補償性設計」（Compensatory Design）等專業詞彙，提升學術厚度。
    *   運用「在此脈絡下」、「綜上所述」、「然而」等轉折詞，確保段落間的邏輯推進。

2.  邏輯結構的層次感：
    *   第一段（定義與背景）：從高齡化社會引出福祉設計，並定義其範圍（不只是功能，更是尊嚴）。
    *   第二段（理論演進）：從「以人為中心」討論到「參與式設計」，強調設計權力的轉移，為「共創」鋪路。
    *   第三段（核心概念）：正式引入「青銀共創」，並用社會學理論（社會資本）來證成其價值。
    *   第四段（教學實務）：將討論拉回教學層面，結合服務學習（Service-Learning）與 PBL，論證為什麼「課程設計」是關鍵。
    *   第五段（研究缺口/Research Gap）：點出目前研究的不足（缺乏教學架構的實證），從而導出本論文研究的必要性與目的。

3.  避免條列式：
    *   全文採用長句與複句的結構，將原本可能用點列呈現的「優點」或「步驟」，轉化為論證過程中的「因果關係」與「延伸思考」。
