這是一篇為設計學術期刊所撰寫的「文獻探討」章節。本文採取學術論文特有的論證邏輯，從社群參與的傳統定義出發，經由人文社會科學（HSS）的研究範式，進而轉向設計學領域的參與式方法論，最後探討兩者交匯處的理論張力與研究缺口。

隨著高等教育全球化趨勢的演變，大學的角色已從單純的知識傳遞與研究中心，轉向更具社會責任感的「社會參與者」（engaged scholar）。在探討大學如何透過學術實踐介入社會議題時，社群參與（Community Engagement）已成為人文與社會科學（Humanities and Social Sciences, HSS）領域的核心研究課題之一。既有的文獻研究多聚焦於大學如何透過學術研究、服務學習及社會對話，與在地社群建立深層連結，並以此促進社會正義與知識的民主化。然而，傳統人文社會科學的研究範式，往往傾向於透過田野調查、質性訪談或量化分析，對社群現象進行觀察、解構與詮釋；這種「觀察者」與「被觀察者」之間的二元對立，雖然能提供深刻的社會洞察，卻在如何將研究發現轉化為具體社會行動的議題上，顯現出實踐性的侷限。

回溯人文社會科學領域關於社群參與的論述，研究重點多集中於權力結構、身份認同以及社會資本的重建。社會學家與人類學家強調，社群參與的本質在於賦權（Empowerment），即透過研究過程讓邊緣化群體重新獲得話語權。在這種脈絡下，大學的角色被視為社會變革的催化劑，其學術產出必須回應社會需求，並在社會變革的過程中建立互惠關係。然而，既有文獻亦指出，此類參與往往受限於「研究導向」的框架，即社群往往是被動的研究對象，其參與程度多止步於提供資訊或接受訪談，缺乏對解決方案開發的實質主導權。這種「研究導向」與「行動導向」之間的斷裂，正是本文試圖透過設計視角來彌補的核心問題。

與此同時，設計領域在近三十年來經歷了顯著的範式轉移（Paradigm Shift），從傳統的「以產品為中心」轉向「以人為中心」，進而演進至「以社群為中心」的參與式設計（Participatory Design）與共同設計（Co-design）論述。設計學的介入，為社群參與提供了另一種方法論的可能。設計學領域的研究者不再僅將設計視為美學的修飾，而是將其視為一種「問題解決的過程」與「溝通的媒介」。參與式設計的核心精神在於打破專家與使用者的階級界線，強調透過工作坊、原型製作（Prototyping）與迭代實驗，讓社群成員從研究的「受訪者」轉化為「共同創作者」。這種從「為人設計」（Design for users）到「與人共創」（Design with users）的轉變，在方法論上與人文社會科學追求的社會正義與賦權目標具有高度的契合性。

當我們嘗試將設計視角引入人文社會科學的社群參與研究時，可以發現一種強大的互補性。人文社會科學提供了深厚的「問題脈絡化」能力，能夠透過批判性思維，剖析社群議題背後的歷史、文化與結構性因素；而設計學則提供了「實踐性知識」（Practical Knowledge）的生成路徑，透過具象化的手段，將抽象的社會議題轉化為可感知、可操作的設計議題。例如，在服務設計（Service Design）的框架下，研究者可以利用繪製旅程圖（Customer Journey Map）或服務藍圖（Service Blueprint）等工具，將社會科學所觀察到的複雜社會關係，轉化為可供社群討論與優化的視覺化資訊，進而促進社群成員間的共識達成。

然而，儘管設計與人文社會科學在價值觀上具有一致性，但在實務操作與學術論述上仍存在著顯著的張力。首先，在研究範式的衝突方面，人文社會科學強調「批判性」與「深度解構」，往往傾向於揭示問題的複雜性與不可解性；而設計學則帶有強烈的「解決問題」導向，追求可行性（Feasibility）與實用性。這種「批判」與「建構」之間的張力，使得在進行社群參與時，研究者往往面臨如何在保留社會批判深度與追求具體設計產出之間取得平衡的困境。

其次，在知識生產的性質上，設計介入的社群參與往往產生大量的「非正式知識」與「過程性知識」，這些知識往往難以被傳統的人文社會科學論文格式所收納。設計過程中的原型、草圖、討論紀錄及社群成員的即興反應，其價值在於其「生成性」，而非僅在於最終的「結論性」。因此，如何在現有的學術體系中，建立一套能夠涵蓋設計實驗過程與人文社會科學深度分析的評價框架，是目前學術界尚未充分探討的議題。

綜上所述，既有的文獻已充分論證了大學社群參與的重要性，並分別從人文社會科學的「賦權與觀察」以及設計學的「參與與共創」兩大維度提供了豐富的研究基礎。然而，關於如何將設計的方法論——即那種具備高度介入性、視覺化與迭代性的特質——系統性地整合進人文社會科學的社群參與研究框架中，仍存在著明顯的研究空白。目前的文獻多將兩者視為獨立的領域，缺乏一個整合性的框架，能同時處理社會議題的深度解構（HSS）與社會方案的具體開發（Design）。因此，本研究旨在提出一種跨領域的視角，探索設計學如何作為一種媒介，轉化人文社會科學的觀察成果，並以此構建一套更具實踐力、能促進社群主動參與的學術實踐模型。

1.  邏輯結構：
    *   第一段：建立背景。從大學的社會責任出發，引出「社群參與」這一核心議題。
    *   第二段：回顧 HSS 領域。分析傳統人文社會科學在社群參與中的貢獻（觀察、批判、賦權）及其局限（研究者與被研究者的二元對立、缺乏行動力）。
    *   第三段：引入設計視角。介紹設計學的範式轉移（從 Design for 到 Design with），強調其方法論（參與式設計、共創）的特性。
    *   第四段：論證交匯點。探討兩者如何互補（HSS 提供脈絡，Design 提供工具與路徑），這是論文的核心論點。
    *   第五、六段：辨析衝突與研究缺口（Research Gap）。指出「批判」與「解決問題」之間的張力，以及「知識產出形式」的不一致。這是論文存在的研究價值所在。
    *   第七段：總結與引出本研究。完成從文獻回顧到本研究動機的邏輯閉環。

2.  學術語體運用：
    *   使用了「範式轉移」、「二元對立」、「實踐性知識」、「脈絡化」、「議題化」等學術詞彙。
    *   避免使用「我覺得」、「首先、其次、最後」這種過於直白的條列感，改以「回溯」、「與此同時」、「綜上所述」等轉折詞來推進論證。
    *   論證過程不只是描述（Description），而是分析（Analysis）與辯證（Dialectics）。
